surface_id,filename,surface_name,role_root,primary_object,secondary_object,screen_type,turn_led,can_exist_without_projects,can_exist_without_turns,produces_work_artifact,displays_attention_artifact,decision_or_gate,consequence_tier,notes
F-MK6,F-MK6_desktop_outreach_queue.html,Desktop Outreach Queue,Owner/Estimator,AttentionArtifact,WorkArtifact,marketing_queue_or_source_projection,Partial,Yes,Yes,Yes,Yes,Yes,external_send_request,"Marketing/outreach/review surfaces are attention queues; Right Hand drafts, operator sends."
F-MK7,F-MK7_mobile_attribution.html,Mobile Attribution,Owner/Estimator,AttentionArtifact,WorkArtifact,marketing_queue_or_source_projection,Partial,Yes,Yes,Yes,Yes,Yes,external_send_request,"Marketing/outreach/review surfaces are attention queues; Right Hand drafts, operator sends."
F-MK8,F-MK8_desktop_attribution.html,Desktop Attribution,Owner/Estimator,AttentionArtifact,WorkArtifact,marketing_queue_or_source_projection,Partial,Yes,Yes,Yes,Yes,Yes,external_send_request,"Marketing/outreach/review surfaces are attention queues; Right Hand drafts, operator sends."
F-MK9,F-MK9_mobile_leads.html,Mobile Leads,Owner/Estimator,BusinessGraphNode,WorkArtifact,sales_pipeline_projection,Partial,Yes,Yes,Yes,Yes,Maybe,sales_work,"Sales/deal graph surfaces; should generate attention for stale leads, lost reasons, and next actions."
F-ML1,F-ML1_mobile_project_media.html,Mobile Project Media,Owner/PM/Field,SourceEvidence,BusinessGraphNode,media_library,Partial,No,Yes,No,No,No,evidence_read,Project media is source evidence library; should stay linked to Daily Log and artifacts.
F-ML2,F-ML2_desktop_project_media.html,Desktop Project Media,Owner/PM/Field,SourceEvidence,BusinessGraphNode,media_library,Partial,No,Yes,No,No,No,evidence_read,Project media is source evidence library; should stay linked to Daily Log and artifacts.
F-MN1,F-MN1_mobile_money_home.html,Mobile Money Home,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN2,F-MN2_desktop_money_home.html,Desktop Money Home,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN3,F-MN3_mobile_margin_posture.html,Mobile Margin Posture,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN4,F-MN4_desktop_margin_posture.html,Desktop Margin Posture,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN5a,F-MN5a_mobile_allowance_exceptions.html,Mobile Allowance Exceptions,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN5b,F-MN5b_desktop_allowance_exceptions.html,Desktop Allowance Exceptions,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN6a,F-MN6a_mobile_ar_aging.html,Mobile Ar Aging,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN6b,F-MN6b_desktop_ar_aging.html,Desktop Ar Aging,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN7a,F-MN7a_mobile_ap_scheduling.html,Mobile Ap Scheduling,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-MN7b,F-MN7b_desktop_ap_scheduling.html,Desktop Ap Scheduling,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-P1,F-P1_mobile_pm_home.html,Mobile Pm Home,PM,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-P2,F-P2_desktop_pm_home.html,Desktop Pm Home,PM,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-PA1a,F-PA1a_mobile_project_archive.html,Mobile Project Archive,Owner/PM/Field,BusinessGraphNode,RoleView,project_projection,Partial,No,Yes,Maybe,Yes,Maybe,project_read_or_update,Project view/list/status are durable graph projections; Right Hand should route into them from turns/attention.
F-PA1b,F-PA1b_desktop_project_archive.html,Desktop Project Archive,Owner/PM/Field,BusinessGraphNode,RoleView,project_projection,Partial,No,Yes,Maybe,Yes,Maybe,project_read_or_update,Project view/list/status are durable graph projections; Right Hand should route into them from turns/attention.
F-PR1,F-PR1_mobile_projects_list.html,Mobile Projects List,Owner/PM/Field,BusinessGraphNode,RoleView,project_projection,Partial,No,Yes,Maybe,Yes,Maybe,project_read_or_update,Project view/list/status are durable graph projections; Right Hand should route into them from turns/attention.
F-PR2,F-PR2_mobile_project_detail.html,Mobile Project Detail,Owner/PM/Field,BusinessGraphNode,RoleView,project_projection,Partial,No,Yes,Maybe,Yes,Maybe,project_read_or_update,Project view/list/status are durable graph projections; Right Hand should route into them from turns/attention.
F-PR3,F-PR3_desktop_projects_list.html,Desktop Projects List,Owner/PM/Field,BusinessGraphNode,RoleView,project_projection,Partial,No,Yes,Maybe,Yes,Maybe,project_read_or_update,Project view/list/status are durable graph projections; Right Hand should route into them from turns/attention.
F-PR4,F-PR4_desktop_project_detail.html,Desktop Project Detail,Owner/PM/Field,BusinessGraphNode,RoleView,project_projection,Partial,No,Yes,Maybe,Yes,Maybe,project_read_or_update,Project view/list/status are durable graph projections; Right Hand should route into them from turns/attention.
F-PS1,F-PS1_mobile_project_status.html,Mobile Project Status,Owner/PM/Field,BusinessGraphNode,RoleView,project_projection,Partial,No,Yes,Maybe,Yes,Maybe,project_read_or_update,Project view/list/status are durable graph projections; Right Hand should route into them from turns/attention.
F-PU1a,F-PU1a_mobile_purchasing.html,Mobile Purchasing,Admin/Ops,WorkArtifact,BusinessGraphNode,procurement_projection,Partial,No,Yes,Yes,Yes,Maybe,procurement_record,Procurement/vendor surfaces should connect to estimate selections and source refs.
F-PU1b,F-PU1b_desktop_purchasing.html,Desktop Purchasing,Admin/Ops,WorkArtifact,BusinessGraphNode,procurement_projection,Partial,No,Yes,Yes,Yes,Maybe,procurement_record,Procurement/vendor surfaces should connect to estimate selections and source refs.
F-PU2,F-PU2_desktop_vendor_detail.html,Desktop Vendor Detail,Admin/Ops,WorkArtifact,BusinessGraphNode,procurement_projection,Partial,No,Yes,Yes,Yes,Maybe,procurement_record,Procurement/vendor surfaces should connect to estimate selections and source refs.
F-PV1,F-PV1_mobile_proposal_view.html,Mobile Proposal View,Mixed,WorkArtifact,Decision,client_artifact_view,Partial,No,Yes,Yes,Maybe,Yes,external_send_gate,"Client-facing proposal artifact; generated by work path, external send remains gated."
F-PV2,F-PV2_desktop_proposal_view.html,Desktop Proposal View,Mixed,WorkArtifact,Decision,client_artifact_view,Partial,No,Yes,Yes,Maybe,Yes,external_send_gate,"Client-facing proposal artifact; generated by work path, external send remains gated."
F-RC1,F-RC1_mobile_room_capture.html,Mobile Room Capture,Owner/PM/Field,SourceEvidence,WorkArtifact,spatial_capture,Yes,No,No,Yes,No,Maybe,evidence_capture,Room/LiDAR capture is a modality front door that creates evidence and later work artifacts.
F-RP1,F-RP1_mobile_reports_center.html,Mobile Reports Center,Admin/Ops,WorkArtifact,BusinessGraphNode,report_artifact_center,Partial,Yes,Yes,Yes,Maybe,No,export_or_report,Reports are generated artifacts; must separate internal persisted queries from open export posture.
F-RP2,F-RP2_desktop_reports_center.html,Desktop Reports Center,Admin/Ops,WorkArtifact,BusinessGraphNode,report_artifact_center,Partial,Yes,Yes,Yes,Maybe,No,export_or_report,Reports are generated artifacts; must separate internal persisted queries from open export posture.
F-RR1,F-RR1_role_root_routing_matrix.html,Role Root Routing Matrix,All roles/System,NavigationPrimitive,RoleProjection,navigation_or_intent_router,Yes,Yes,Partial,No,Maybe,No,navigation,Core Right Hand chrome/routing primitive; survives without projects and defines how turns reach surfaces.
F-S1,F-S1_mobile_start_action_sheet.html,Mobile Start Action Sheet,All roles/System,NavigationPrimitive,RoleProjection,navigation_or_intent_router,Yes,Yes,Partial,No,Maybe,No,navigation,Core Right Hand chrome/routing primitive; survives without projects and defines how turns reach surfaces.
F-SB1,F-SB1_mobile_subs_list.html,Mobile Subs List,Sub/Admin,BusinessGraphNode,RoleView,people_or_sub_projection,Partial,Yes,Yes,Maybe,Yes,Maybe,people_ops,People/sub/time/doc graph views; role visibility and privacy matter.
F-SB2,F-SB2_desktop_subs_list.html,Desktop Subs List,Sub/Admin,BusinessGraphNode,RoleView,people_or_sub_projection,Partial,Yes,Yes,Maybe,Yes,Maybe,people_ops,People/sub/time/doc graph views; role visibility and privacy matter.
F-SC1,F-SC1_mobile_schedule_home.html,Mobile Schedule Home,Mixed,BusinessGraphNode,AttentionArtifact,schedule_projection,Partial,No,Yes,Maybe,Yes,Maybe,schedule_read_or_update,Schedule home is attention-sorted time graph; connects to blockers/lookahead.
F-SC2,F-SC2_desktop_schedule_home.html,Desktop Schedule Home,Mixed,BusinessGraphNode,AttentionArtifact,schedule_projection,Partial,No,Yes,Maybe,Yes,Maybe,schedule_read_or_update,Schedule home is attention-sorted time graph; connects to blockers/lookahead.
F-SH1,F-SH1_mobile_sub_home.html,Mobile Sub Home,Sub,RoleView,WorkArtifact,sub_portal_projection,Partial,No,Yes,Yes,Yes,Maybe,role_scoped_work,Sub-facing role projection; should show assignments/messages/pay status without exposing portfolio internals.
F-SH2,F-SH2_desktop_sub_home.html,Desktop Sub Home,Sub,RoleView,WorkArtifact,sub_portal_projection,Partial,No,Yes,Yes,Yes,Maybe,role_scoped_work,Sub-facing role projection; should show assignments/messages/pay status without exposing portfolio internals.
F-SL1,F-SL1_mobile_sales_pipeline.html,Mobile Sales Pipeline,Owner/Estimator,BusinessGraphNode,WorkArtifact,sales_pipeline_projection,Partial,Yes,Yes,Yes,Yes,Maybe,sales_work,"Sales/deal graph surfaces; should generate attention for stale leads, lost reasons, and next actions."
F-SL2,F-SL2_desktop_sales_pipeline.html,Desktop Sales Pipeline,Owner/Estimator,BusinessGraphNode,WorkArtifact,sales_pipeline_projection,Partial,Yes,Yes,Yes,Yes,Maybe,sales_work,"Sales/deal graph surfaces; should generate attention for stale leads, lost reasons, and next actions."
F-SL3,F-SL3_mobile_deal_detail.html,Mobile Deal Detail,Owner/Estimator,BusinessGraphNode,WorkArtifact,sales_pipeline_projection,Partial,Yes,Yes,Yes,Yes,Maybe,sales_work,"Sales/deal graph surfaces; should generate attention for stale leads, lost reasons, and next actions."
F-SL4,F-SL4_desktop_deal_detail.html,Desktop Deal Detail,Owner/Estimator,BusinessGraphNode,WorkArtifact,sales_pipeline_projection,Partial,Yes,Yes,Yes,Yes,Maybe,sales_work,"Sales/deal graph surfaces; should generate attention for stale leads, lost reasons, and next actions."
F-SP1,F-SP1_desktop_settings.html,Desktop Settings,All roles/System,SystemPolicy,RoleProjection,settings_policy,No,Yes,Yes,No,No,Yes,policy_change,"Settings/account editor governs preferences, theme, audit and policy; changes require audit."
F-SP1a,F-SP1a_desktop_account_editor.html,Desktop Account Editor,All roles/System,SystemPolicy,RoleProjection,settings_policy,No,Yes,Yes,No,No,Yes,policy_change,"Settings/account editor governs preferences, theme, audit and policy; changes require audit."
F-SU1,F-SU1_mobile_superintendent_home.html,Mobile Superintendent Home,Superintendent,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-SU2,F-SU2_desktop_superintendent_home.html,Desktop Superintendent Home,Superintendent,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-TD1,F-TD1_mobile_global_todo.html,Mobile Global Todo,Mixed,WorkArtifact,AttentionArtifact,todo_queue,Partial,Yes,Yes,Yes,Yes,Maybe,task_record,"Global to-do should be an attention projection, not a generic task dump."
F-TD2,F-TD2_desktop_global_todo.html,Desktop Global Todo,Mixed,WorkArtifact,AttentionArtifact,todo_queue,Partial,Yes,Yes,Yes,Yes,Maybe,task_record,"Global to-do should be an attention projection, not a generic task dump."
F-TO1,F-TO1_mobile_team_ops_home.html,Mobile Team Ops Home,Admin/Ops,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-TO2,F-TO2_desktop_team_ops_home.html,Desktop Team Ops Home,Admin/Ops,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-VC1,F-VC1_desktop_spend_card_framing.html,Desktop Spend Card Framing,Owner/Admin/Ops,BusinessGraphNode,AttentionArtifact,money_projection,Partial,Partial,Yes,Yes,Yes,Yes,money_review_or_export,Money views are graph projections plus attention; no money mutation without explicit confirmation.
F-W1,F-W1_mobile_work_order.html,Mobile Work Order,Owner/PM/Field,WorkArtifact,BusinessGraphNode,work_order,Partial,No,Yes,Yes,Yes,Maybe,field_execution,Field work artifact; can be surfaced as Field Hand attention item.
F-WW1a,F-WW1a_mobile_warranty.html,Mobile Warranty,Owner/PM/Field,BusinessGraphNode,WorkArtifact,warranty_workflow,Partial,No,Yes,Yes,Yes,Maybe,service_obligation,Warranty claims are post-close obligations; attention when client/customer action needed.
F-WW1b,F-WW1b_desktop_warranty.html,Desktop Warranty,Owner/PM/Field,BusinessGraphNode,WorkArtifact,warranty_workflow,Partial,No,Yes,Yes,Yes,Maybe,service_obligation,Warranty claims are post-close obligations; attention when client/customer action needed.
